id_GO	type	name
0016847F	F	1-aminocyclopropane-1-carboxylate synthase activity
0030170F	F	pyridoxal phosphate binding
0009693P	P	ethylene biosynthetic process
0009835P	P	fruit ripening
0008660F	F	1-aminocyclopropane-1-carboxylate deaminase activity
0009310P	P	amine catabolic process
0071941P	P	nitrogen cycle metabolic process
0003824F	F	catalytic activity
0009058P	P	biosynthetic process
0030667C	C	secretory granule membrane
0043312P	P	neutrophil degranulation
0042270P	P	protection from natural killer cell mediated cytotoxicity
2001198P	P	regulation of dendritic cell differentiation
0032655P	P	regulation of interleukin-12 production
0032675P	P	regulation of interleukin-6 production
0002667P	P	regulation of T cell anergy
0000159C	C	protein phosphatase type 2A complex
0072542F	F	protein phosphatase activator activity
0046627P	P	negative regulation of insulin receptor signaling pathway
1903863P	P	P granule assembly
0006470P	P	protein dephosphorylation
0010883P	P	regulation of lipid storage
0009408P	P	response to heat
0000775C	C	chromosome, centromeric region
0031430C	C	M band
0030018C	C	Z disc
0019900F	F	kinase binding
0019888F	F	protein phosphatase regulator activity
0090219P	P	negative regulation of lipid kinase activity
1903077P	P	negative regulation of protein localization to plasma membrane
0035307P	P	positive regulation of protein dephosphorylation
0071363P	P	cellular response to growth factor stimulus
0036498P	P	IRE1-mediated unfolded protein response
0070317P	P	negative regulation of G0 to G1 transition
0051898P	P	negative regulation of protein kinase B signaling
0071158P	P	positive regulation of cell cycle arrest
0010976P	P	positive regulation of neuron projection development
0051388P	P	positive regulation of neurotrophin TRK receptor signaling pathway
0031334P	P	positive regulation of protein complex assembly
0051091P	P	positive regulation of sequence-specific DNA binding transcription factor activity
0045944P	P	positive regulation of transcription from RNA polymerase II promoter
0050730P	P	regulation of peptidyl-tyrosine phosphorylation
0014066P	P	regulation of phosphatidylinositol 3-kinase signaling
0031952P	P	regulation of protein autophosphorylation
0010469P	P	regulation of receptor activity
0001932P	P	regulation of protein phosphorylation
0004722F	F	protein serine/threonine phosphatase activity
0005935C	C	cellular bud neck
0000780C	C	condensed nuclear chromosome, centromeric region
0000776C	C	kinetochore
0005816C	C	spindle pole body
0032186P	P	cellular bud neck septin ring organization
0034613P	P	cellular protein localization
0070199P	P	establishment of protein localization to chromosome
0051754P	P	meiotic sister chromatid cohesion, centromeric
0031578P	P	mitotic spindle orientation checkpoint
0031107P	P	septin ring disassembly
0031134P	P	sister chromatid biorientation
0042771P	P	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
0008285P	P	negative regulation of cell proliferation
0043161P	P	proteasome-mediated ubiquitin-dependent protein catabolic process
0030425C	C	dendrite
0016328C	C	lateral plasma membrane
0006461P	P	protein complex assembly
0072686C	C	mitotic spindle
0005635C	C	nuclear envelope
0043186C	C	P granule
0017151F	F	DEAD/H-box RNA helicase binding
0005814C	C	centriole
0006914P	P	autophagy
0007099P	P	centriole replication
0007098P	P	centrosome cycle
0006909P	P	phagocytosis
0051225P	P	spindle assembly
0015630C	C	microtubule cytoskeleton
1990405F	F	protein antigen binding
0006915P	P	apoptotic process
0006672P	P	ceramide metabolic process
0007143P	P	female meiotic nuclear division
0000188P	P	inactivation of MAPK activity
0051232P	P	meiotic spindle elongation
0007084P	P	mitotic nuclear envelope reassembly
0051306P	P	mitotic sister chromatid separation
0030308P	P	negative regulation of cell growth
0042532P	P	negative regulation of tyrosine phosphorylation of STAT protein
0000184P	P	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
0070262P	P	peptidyl-serine dephosphorylation
2001241P	P	positive regulation of extrinsic apoptotic signaling pathway in absence of ligand
0030155P	P	regulation of cell adhesion
0045595P	P	regulation of cell differentiation
0006275P	P	regulation of DNA replication
1903538P	P	regulation of meiotic cell cycle process involved in oocyte maturation
0006355P	P	regulation of transcription, DNA-templated
0030111P	P	regulation of Wnt signaling pathway
0010033P	P	response to organic substance
0008380P	P	RNA splicing
0019932P	P	second-messenger-mediated signaling
0005826C	C	actomyosin contractile ring
0090443C	C	FAR/SIN/STRIPAK complex
0044732C	C	mitotic spindle pole body
0061509P	P	asymmetric protein localization to old mitotic spindle pole body
0030952P	P	establishment or maintenance of cytoskeleton polarity
0031030P	P	negative regulation of septation initiation signaling
0005934C	C	cellular bud tip
0043332C	C	mating projection tip
0007094P	P	mitotic spindle assembly checkpoint
0006417P	P	regulation of translation
0045121C	C	membrane raft
0060561P	P	apoptotic process involved in morphogenesis
0000278P	P	mitotic cell cycle
0002119P	P	nematode larval development
0040026P	P	positive regulation of vulval development
0001700P	P	embryonic development via the syncytial blastoderm
0007447P	P	imaginal disc pattern formation
0045201P	P	maintenance of neuroblast polarity
0007091P	P	metaphase/anaphase transition of mitotic cell cycle
0007406P	P	negative regulation of neuroblast proliferation
0030071P	P	regulation of mitotic metaphase/anaphase transition
0007423P	P	sensory organ development
0016055P	P	Wnt signaling pathway
0051721F	F	protein phosphatase 2A binding
0048156F	F	tau protein binding
0032502P	P	developmental process
0043278P	P	response to morphine
0010972P	P	negative regulation of G2/M transition of mitotic cell cycle
0034260P	P	negative regulation of GTPase activity
0000329C	C	fungal-type vacuole membrane
0045143P	P	homologous chromosome segregation
0044818P	P	mitotic G2/M transition checkpoint
0001100P	P	negative regulation of exit from mitosis
0010971P	P	positive regulation of G2/M transition of mitotic cell cycle
1900182P	P	positive regulation of protein localization to nucleus
0061586P	P	positive regulation of transcription by transcription factor localization
0090266P	P	regulation of mitotic cell cycle spindle assembly checkpoint
0005856C	C	cytoskeleton
0005741C	C	mitochondrial outer membrane
0051301P	P	cell division
0010458P	P	exit from mitosis
0032153C	C	cell division site
0051286C	C	cell tip
0030669C	C	clathrin-coated endocytic vesicle membrane
0030666C	C	endocytic vesicle membrane
0031902C	C	late endosome membrane
0005765C	C	lysosomal membrane
0042613C	C	MHC class II protein complex
0032588C	C	trans-Golgi network membrane
0030658C	C	transport vesicle membrane
0019886P	P	antigen processing and presentation of exogenous peptide antigen via MHC class II
0002455P	P	humoral immune response mediated by circulating immunoglobulin
0002381P	P	immunoglobulin production involved in immunoglobulin mediated immune response
0002503P	P	peptide antigen assembly with MHC class II protein complex
0031295P	P	T cell costimulation
0050852P	P	T cell receptor signaling pathway
0009897C	C	external side of plasma membrane
0032395F	F	MHC class II receptor activity
0002437P	P	inflammatory response to antigenic stimulus
0032689P	P	negative regulation of interferon-gamma production
0042130P	P	negative regulation of T cell proliferation
0035774P	P	positive regulation of insulin secretion involved in cellular response to glucose stimulus
0051262P	P	protein tetramerization
2001179P	P	regulation of interleukin-10 secretion
0032673P	P	regulation of interleukin-4 production
0042088P	P	T-helper 1 type immune response
0002506P	P	polysaccharide assembly with MHC class II protein complex
0018580F	F	nitronate monooxygenase activity
0005743C	C	mitochondrial inner membrane
0005758C	C	mitochondrial intermembrane space
0030868C	C	smooth endoplasmic reticulum membrane
0003854F	F	3-beta-hydroxy-delta5-steroid dehydrogenase activity
0102294F	F	cholesterol dehydrogenase activity
0004769F	F	steroid delta-isomerase activity
0006702P	P	androgen biosynthetic process
0006703P	P	estrogen biosynthetic process
0006704P	P	glucocorticoid biosynthetic process
0006705P	P	mineralocorticoid biosynthetic process
0006694P	P	steroid biosynthetic process
0031966C	C	mitochondrial membrane
0035634P	P	response to stilbenoid
0047016F	F	cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase activity
0035754P	P	B cell chemotaxis
0006699P	P	bile acid biosynthetic process
0005912C	C	adherens junction
0005923C	C	bicellular tight junction
0031252C	C	cell leading edge
0030027C	C	lamellipodium
0001891C	C	phagocytic cup
0005096F	F	GTPase activator activity
0030215F	F	semaphorin receptor binding
0017124F	F	SH3 domain binding
0007015P	P	actin filament organization
0034329P	P	cell junction assembly
0016477P	P	cell migration
0045198P	P	establishment of epithelial cell apical/basal polarity
0046847P	P	filopodium assembly
0051058P	P	negative regulation of small GTPase mediated signal transduction
0043547P	P	positive regulation of GTPase activity
0032956P	P	regulation of actin cytoskeleton organization
0030834P	P	regulation of actin filament depolymerization
0043535P	P	regulation of blood vessel endothelial cell migration
0071526P	P	semaphorin-plexin signaling pathway
0097178P	P	ruffle assembly
0001784F	F	phosphotyrosine residue binding
0005070F	F	SH3/SH2 adaptor activity
0004860F	F	protein kinase inhibitor activity
0009952P	P	anterior/posterior pattern specification
0007301P	P	female germline ring canal formation
0007498P	P	mesoderm development
0042694P	P	muscle cell fate specification
0007517P	P	muscle organ development
0048644P	P	muscle organ morphogenesis
0061099P	P	negative regulation of protein tyrosine kinase activity
0005622C	C	intracellular
0000334F	F	3-hydroxyanthranilate 3,4-dioxygenase activity
0008198F	F	ferrous iron binding
0009435P	P	NAD biosynthetic process
0070050P	P	neuron cellular homeostasis
0046686P	P	response to cadmium ion
0010043P	P	response to zinc ion
0005506F	F	iron ion binding
0009055F	F	electron transfer activity
0019805P	P	quinolinate biosynthetic process
0006569P	P	tryptophan catabolic process
0034354P	P	'de novo' NAD biosynthetic process from tryptophan
0008442F	F	3-hydroxyisobutyrate dehydrogenase activity
0051287F	F	NAD binding
0004616F	F	phosphogluconate dehydrogenase (decarboxylating) activity
0006574P	P	valine catabolic process
0006520P	P	cellular amino acid metabolic process
0005759C	C	mitochondrial matrix
0009083P	P	branched-chain amino acid catabolic process
0042645C	C	mitochondrial nucleoid
0003905F	F	alkylbase DNA N-glycosylase activity
0003684F	F	damaged DNA binding
0019104F	F	DNA N-glycosylase activity
0008725F	F	DNA-3-methyladenine glycosylase activity
0052822F	F	DNA-3-methylguanine glycosylase activity
0052821F	F	DNA-7-methyladenine glycosylase activity
0043916F	F	DNA-7-methylguanine glycosylase activity
0006284P	P	base-excision repair
0045007P	P	depurination
0006307P	P	DNA dealkylation involved in DNA repair
0003677F	F	DNA binding
0099738C	C	cell cortex region
0005516F	F	calmodulin binding
0005200F	F	structural constituent of cytoskeleton
0031032P	P	actomyosin structure organization
0007049P	P	cell cycle
0030866P	P	cortical actin cytoskeleton organization
1904778P	P	positive regulation of protein localization to cell cortex
0006810P	P	transport
0005918C	C	septate junction
0005920C	C	smooth septate junction
0008092F	F	cytoskeletal protein binding
0007527P	P	adult somatic muscle development
0061343P	P	cell adhesion involved in heart morphogenesis
0045216P	P	cell-cell junction organization
0008362P	P	chitin-based embryonic cuticle biosynthetic process
0007391P	P	dorsal closure
0009790P	P	embryo development
0060857P	P	establishment of glial blood-brain barrier
0007163P	P	establishment or maintenance of cell polarity
0003015P	P	heart process
0035321P	P	maintenance of imaginal disc-derived wing hair orientation
0006612P	P	protein targeting to membrane
0035151P	P	regulation of tube size, open tracheal system
0007435P	P	salivary gland morphogenesis
0019991P	P	septate junction assembly
0030054C	C	cell junction
0030863C	C	cortical cytoskeleton
0009898C	C	cytoplasmic side of plasma membrane
0014069C	C	postsynaptic density
0014731C	C	spectrin-associated cytoskeleton
0005545F	F	1-phosphatidylinositol binding
0030507F	F	spectrin binding
0030036P	P	actin cytoskeleton organization
0032092P	P	positive regulation of protein binding
0008360P	P	regulation of cell shape
0015629C	C	actin cytoskeleton
0005198F	F	structural molecule activity
0016207F	F	4-coumarate-CoA ligase activity
0005524F	F	ATP binding
0009698P	P	phenylpropanoid metabolic process
0008190F	F	eukaryotic initiation factor 4E binding
0045947P	P	negative regulation of translational initiation
0014743P	P	regulation of muscle hypertrophy
0030371F	F	translation repressor activity
0071549P	P	cellular response to dexamethasone stimulus
0000082P	P	G1/S transition of mitotic cell cycle
0008286P	P	insulin receptor signaling pathway
0002192P	P	IRES-dependent translational initiation of linear mRNA
0045931P	P	positive regulation of mitotic cell cycle
0031929P	P	TOR signaling
0071456P	P	cellular response to hypoxia
0030324P	P	lung development
0031333P	P	negative regulation of protein complex assembly
1990928P	P	response to amino acid starvation
0045471P	P	response to ethanol
0002931P	P	response to ischemia
0006446P	P	regulation of translational initiation
0019933P	P	cAMP-mediated signaling
0007613P	P	memory
0050804P	P	modulation of chemical synaptic transmission
0035176P	P	social behavior
0006412P	P	translation
0016281C	C	eukaryotic translation initiation factor 4F complex
0043231C	C	intracellular membrane-bounded organelle
0016607C	C	nuclear speck
0000932C	C	P-body
0016605C	C	PML body
0003729F	F	mRNA binding
0008565F	F	protein transporter activity
0045665P	P	negative regulation of neuron differentiation
0017148P	P	negative regulation of translation
0019827P	P	stem cell population maintenance
0015031P	P	protein transport
0016324C	C	apical plasma membrane
0005432F	F	calcium
0003725F	F	double-stranded RNA binding
0015175F	F	neutral amino acid transmembrane transporter activity
0006865P	P	amino acid transport
0006816P	P	calcium ion transport
0005975P	P	carbohydrate metabolic process
0016049P	P	cell growth
1902475P	P	L-alpha-amino acid transmembrane transport
0060356P	P	leucine import
0050900P	P	leukocyte migration
0043330P	P	response to exogenous dsRNA
0015827P	P	tryptophan transport
0004993F	F	G-protein coupled serotonin receptor activity
0030594F	F	neurotransmitter receptor activity
0090722F	F	receptor-receptor interaction
0051378F	F	serotonin binding
0007198P	P	adenylate cyclase-inhibiting serotonin receptor signaling pathway
0001662P	P	behavioral fear response
0008283P	P	cell proliferation
0035640P	P	exploration behavior
0007186P	P	G-protein coupled receptor signaling pathway
0008284P	P	positive regulation of cell proliferation
0050795P	P	regulation of behavior
0042053P	P	regulation of dopamine metabolic process
0046883P	P	regulation of hormone secretion
0014062P	P	regulation of serotonin secretion
0042428P	P	serotonin metabolic process
0007210P	P	serotonin receptor signaling pathway
0042310P	P	vasoconstriction
0007610P	P	behavior
0006260P	P	DNA replication
0008144F	F	drug binding
0046849P	P	bone remodeling
0071312P	P	cellular response to alkaloid
0035690P	P	cellular response to drug
0071502P	P	cellular response to temperature stimulus
0007268P	P	chemical synaptic transmission
0042756P	P	drinking behavior
0002031P	P	G-protein coupled receptor internalization
0007187P	P	G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
0030818P	P	negative regulation of cAMP biosynthetic process
0014063P	P	negative regulation of serotonin secretion
0032229P	P	negative regulation of synaptic transmission, GABAergic
0051967P	P	negative regulation of synaptic transmission, glutamatergic
1904707P	P	positive regulation of vascular smooth muscle cell proliferation
0007205P	P	protein kinase C-activating G-protein coupled receptor signaling pathway
0014059P	P	regulation of dopamine secretion
0042220P	P	response to cocaine
0051385P	P	response to mineralocorticoid
0042493P	P	response to drug
0007631P	P	feeding behavior
0007193P	P	adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway
0014827P	P	intestine smooth muscle contraction
0040012P	P	regulation of locomotion
0009636P	P	response to toxic substance
0004930F	F	G-protein coupled receptor activity
0030815P	P	negative regulation of cAMP metabolic process
0004952F	F	dopamine neurotransmitter receptor activity
0008227F	F	G-protein coupled amine receptor activity
0007192P	P	adenylate cyclase-activating serotonin receptor signaling pathway
0007619P	P	courtship behavior
0060180P	P	female mating behavior
0016543P	P	male courtship behavior, orientation prior to leg tapping and wing vibration
0016546P	P	male courtship behavior, proboscis-mediated licking
0016545P	P	male courtship behavior, veined wing vibration
0060179P	P	male mating behavior
0005901C	C	caveola
0031410C	C	cytoplasmic vesicle
0043198C	C	dendritic shaft
0071886F	F	1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding
0007202P	P	activation of phospholipase C activity
0014065P	P	phosphatidylinositol 3-kinase signaling
0007200P	P	phospholipase C-activating G-protein coupled receptor signaling pathway
0045600P	P	positive regulation of fat cell differentiation
0045821P	P	positive regulation of glycolytic process
0033674P	P	positive regulation of kinase activity
0050731P	P	positive regulation of peptidyl-tyrosine phosphorylation
0010513P	P	positive regulation of phosphatidylinositol biosynthetic process
0044380P	P	protein localization to cytoskeleton
0051209P	P	release of sequestered calcium ion into cytosol
0006939P	P	smooth muscle contraction
0001586F	F	Gi/o-coupled serotonin receptor activity
0007615P	P	anesthesia-resistant memory
0002121P	P	inter-male aggressive behavior
0008049P	P	male courtship behavior
0007208P	P	phospholipase C-activating serotonin receptor signaling pathway
0045187P	P	regulation of circadian sleep/wake cycle, sleep
0070852C	C	cell body fiber
0043025C	C	neuronal cell body
0001965F	F	G-protein alpha-subunit binding
0001618F	F	virus receptor activity
0007568P	P	aging
0014824P	P	artery smooth muscle contraction
0048148P	P	behavioral response to cocaine
0008219P	P	cell death
0006874P	P	cellular calcium ion homeostasis
0050966P	P	detection of mechanical stimulus involved in sensory perception of pain
0050965P	P	detection of temperature stimulus involved in sensory perception of pain
0043267P	P	negative regulation of potassium ion transport
0043406P	P	positive regulation of MAP kinase activity
0045907P	P	positive regulation of vasoconstriction
0030431P	P	sleep
0001659P	P	temperature homeostasis
0014832P	P	urinary bladder smooth muscle contraction
0009649P	P	entrainment of circadian clock
0043005C	C	neuron projection
0045202C	C	synapse
0019722P	P	calcium-mediated signaling
0003300P	P	cardiac muscle hypertrophy
0006182P	P	cGMP biosynthetic process
0048598P	P	embryonic morphogenesis
0070371P	P	ERK1 and ERK2 cascade
0003007P	P	heart morphogenesis
0010507P	P	negative regulation of autophagy
0060548P	P	negative regulation of cell death
0014033P	P	neural crest cell differentiation
0001755P	P	neural crest cell migration
0016310P	P	phosphorylation
0051781P	P	positive regulation of cell division
0001819P	P	positive regulation of cytokine production
0050715P	P	positive regulation of cytokine secretion
0001938P	P	positive regulation of endothelial cell proliferation
0043123P	P	positive regulation of I-kappaB kinase/NF-kappaB signaling
0051000P	P	positive regulation of nitric-oxide synthase activity
0070528P	P	protein kinase C signaling
0001587F	F	Gq/11-coupled serotonin receptor activity
0007626P	P	locomotory behavior
0051482P	P	positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway
0032098P	P	regulation of appetite
0043397P	P	regulation of corticotropin-releasing hormone secretion
0031644P	P	regulation of neurological system process
0048016P	P	inositol phosphate-mediated signaling
0032154C	C	cleavage furrow
0045211C	C	postsynaptic membrane
1904602C	C	serotonin-activated cation-selective channel complex
0022850F	F	serotonin-gated cation-selective channel activity
0032414P	P	positive regulation of ion transmembrane transporter activity
0005768C	C	endosome
0007214P	P	gamma-aminobutyric acid signaling pathway
0043204C	C	perikaryon
0005791C	C	rough endoplasmic reticulum
0032355P	P	response to estradiol
0005929C	C	cilium
0004969F	F	histamine receptor activity
0021795P	P	cerebral cortex cell migration
0032008P	P	positive regulation of TOR signaling
0008015P	P	blood circulation
0008253F	F	5'-nucleotidase activity
0000287F	F	magnesium ion binding
0000166F	F	nucleotide binding
0009117P	P	nucleotide metabolic process
0046085P	P	adenosine metabolic process
0009116P	P	nucleoside metabolic process
0009128P	P	purine nucleoside monophosphate catabolic process
0006195P	P	purine nucleotide catabolic process
0046135P	P	pyrimidine nucleoside catabolic process
0016740F	F	transferase activity
0051607P	P	defense response to virus
0000215F	F	tRNA 2'-phosphotransferase activity
0006213P	P	pyrimidine nucleoside metabolic process
0008252F	F	nucleotidase activity
0016311P	P	dephosphorylation
1901069P	P	guanosine-containing compound catabolic process
0009158P	P	ribonucleoside monophosphate catabolic process
0043928P	P	exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay
0046872F	F	metal ion binding
0046040P	P	IMP metabolic process
0050146F	F	nucleoside phosphotransferase activity
0017144P	P	drug metabolic process
0031225C	C	anchored component of membrane
0009166P	P	nucleotide catabolic process
0046086P	P	adenosine biosynthetic process
0006196P	P	AMP catabolic process
0006259P	P	DNA metabolic process
0007159P	P	leukocyte cell-cell adhesion
0019674P	P	NAD metabolic process
0050728P	P	negative regulation of inflammatory response
0031045C	C	dense core granule
0012505C	C	endomembrane system
0005576C	C	extracellular region
0097467C	C	type III terminal bouton
0005125F	F	cytokine activity
0008083F	F	growth factor activity
0005160F	F	transforming growth factor beta receptor binding
0030509P	P	BMP signaling pathway
0036099P	P	female germ-line stem cell population maintenance
0008586P	P	imaginal disc-derived wing vein morphogenesis
0007474P	P	imaginal disc-derived wing vein specification
0007528P	P	neuromuscular junction development
0007274P	P	neuromuscular synaptic transmission
0030707P	P	ovarian follicle cell development
0048636P	P	positive regulation of muscle organ development
0010862P	P	positive regulation of pathway-restricted SMAD protein phosphorylation
0045887P	P	positive regulation of synaptic growth at neuromuscular junction
0042981P	P	regulation of apoptotic process
0043408P	P	regulation of MAPK cascade
0046928P	P	regulation of neurotransmitter secretion
0060395P	P	SMAD protein signal transduction
0099504P	P	synaptic vesicle cycle
0007419P	P	ventral cord development
